POST_NUMBER;RIVER;POST_STATION_NAME;LON;LAT;SIZE;YEAR_BUILT;BUILT_BY;PROVINCE;DISTRICT;SUBDISTRICT;VILLAGE;SUBVILLAGE;YEAR_RANGE;DATA_COUNT
02-026-06-09;CIMANUK;CIKERUH-JATIWANGI;108.30194444444444;-6.915555555555556;103;1988;PUSLITBANG AIR;JAWA BARAT;MAJALENGKA;PALASA;SINDANGWANGI;SINDANGWANGI;1988 - 2012;20
02-095-01-03;CIWULAN;CIKUNIR-ASTA;108.1286111111111;-7.346388888888889;73;1985;PROYEK CITANDUY;JAWA BARAT;TASIKMALAYA;KAWALU;LEUWIMIDA;ASTA;1985 - 2013;15
00-000-00-05;CIKANDANG;CIKANDANG-PAKENJENG;;;100;1986;PSDA CIWULAN;JAWA BARAT;TASIKMALAYA;;;PAKEJENG;2011 - 2013;5
02-112-01-35;CITANDUY;CILACA-WANAREJA;108.67444444444445;-7.316666666666666;20.7;1984;BADAN PELAKSANA PROYEK CITANDUY;JAWA BARAT;BANJAR; MAJENANG;CILACA;CILACA;2008 - 2013;8
02-112-02-18;CITANDUY;CIKEMBANG-SITUBATU;108.31694444444445;-7.340833333333333;124;1984;BADAN PELAKSANA PROYEK CITANDUY;JAWA BARAT;BANJAR;CIMARAGAS;SITUBATU;SITUBATU;2008 - 2013;8
02-112-02-20;CITANDUY;CIKAWUNG-CUKANG_LEULEUS;108.70416666666667;-7.353333333333333;552.6;2002;BBWS CITANDUY;JAWA BARAT;BANJAR;SIDAREJA;CUKANGLEULEUS;CUKANGLEULEUS;1996 - 2013;11
02-098-01-23;CIKASO;CIKASO-TADEGAN;;;100;1986;PSDA CIWULAN;JAWA BARAT;GARUT;PAMENGPEUK;-;-;2011 - 2013;4
02-104-01-03;CIKASO;CIKASO-PARUNGSEAH;106.83777777777777;-7.228611111111111;487.2;1982;PHBD;JAWA BARAT;SUKABUMI;SAGARANTEN;JURUG HILIR;PARUNGSEAH;1977 - 2013;24
02-104-02-02;CIKASO;CIKASO-LEUWIPANJANG;106.74388888888889;-7.2875;487.2;1982;PHBD;JAWA BARAT;SUKABUMI;SAGARANTEN;NEGLASARI;CICACING;1992 - 2013;22
02-105-01-01;CIKARANG;CIKARANG-GALUMPIT;106.61666666666666;-7.023333333333333;;;;JAWA BARAT;SUKABUMI;;CIKARANG;;2012 - 2013;4
02-026-01-03;CIMANUK;CIKUMUTUK-CILAMPUYANG;108.23555555555555;-6.912222222222223;1.10;1989;;JAWA BARAT;GARUT;;;;1997;1
02-016-06-01;CITARUM;CIMAHI-CICAKUNG;108.76666666666667;-6.2;26.8;1996;PROY.KALIBRASI BANG. PE;JAWA BARAT;BANDUNG;LEMBANG;BARUKAI;CICAKUNG;1996 - 2012;18
02-026-05-05;CIMANUK;CILUTUNG-DAM_KAMUN;108.16666666666667;-6.783333333333333;620.5;1988;DPMA;JAWA BARAT;MAJALENGKA;MAJALENGKA;KAMUN;KAMUN;1973 - 2012;21
02-026-05-06;CIMANUK;CILUTUNG-BANTAR_MERAK;108.21055555555556;-6.9494444444444445;340;1988;PUSLITBANG AIR;JAWA BARAT;MAJALENGKA;CIBEUREUM;MONJOT;MONJOT;1988 - 2012;11
02-092-01-03;CITANDUY;CILEUEUR-BUNAR_BOJONG;108.31472222222222;-7.339166666666666;139.4;1983;BADAN PELAKSANA PROYEK CITANDUY;JAWA BARAT;CIAMIS;BOJONG;BUNAR;BUNAR;1996 - 2013;10
02-092-01-09;CITANDUY;CILOSEH-SUKARATU;108.1463888888889;-7.2683333333333335;36;1985;PUSAT LITBANG PENGAIRAN;JAWA BARAT;TASIKMALAYA; INDIHIANG;SUKARATU;SUKAGALIH;1985 - 2010;18
02-096-01-03;CILANGLA;CILANGLA-LEUWINEUKTEUK;108.11027777777777;-7.6288888888888895;176.7;1974;DPMA;JAWA BARAT;TASIKMALAYA;BANTARKALONG;PARAKANHONJE;LEUWINEUKTEUK;1987 - 2013;36
00-000-00-04;CILONGGAN;CILONGGAN-CISAAT;;;100;1986;PSDA CIWULAN;JAWA BARAT;CIAMIS;DAYEUHLUHUR;BINGKENG;CIKADU;2011 - 2015;5
